"host","source_url","type","id","slug","title","price","sku","link","image","vendor","updated"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","6371","hashtonic-semillas-regulares","HashTonic Regular","","","https://www.aceseeds.org/semillas/hashtonic-semillas-regulares/","","","2025-10-08T23:03:56"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","353","hazexkalichina-semillas-feminizadas","Haze X Kali China Feminizada","1500","HazexKaliChina_feminized_seeds","https://www.aceseeds.org/semillas/hazexkalichina-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","31325","himalaya-snow-semillas-regulares","Himalaya Snow Regular","5000","Himalaya_Snow_regular_seeds","https://www.aceseeds.org/semillas/himalaya-snow-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","3995","hokkaido-japon-semillas-regulares","Hokkaido Japón Regular","","","https://www.aceseeds.org/semillas/hokkaido-japon-semillas-regulares/","","","2025-04-25T16:24:01"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","2624","honduras-semillas-regulares","Honduras Regular","3500","Honduras_regular_seeds","https://www.aceseeds.org/semillas/honduras-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","6291","hondurasxa5haze-feminized-seeds","Honduras x A5 Haze I+D Feminizada","","","https://www.aceseeds.org/semillas/hondurasxa5haze-feminized-seeds/","","","2025-02-21T21:44:29"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","32543","honduras-x-panama-semillas-feminizadas","Honduras x Panama Feminizada","","","https://www.aceseeds.org/semillas/honduras-x-panama-semillas-feminizadas/","","","2025-06-03T07:33:08"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","4114","hondurasxpanama-semillas-regulares","Honduras x Panama Regular","","","https://www.aceseeds.org/semillas/hondurasxpanama-semillas-regulares/","","","2025-04-28T02:32:40"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6377","juanitaxerdpurt-semillas-regulares","Juanita x ErdPurt I+D Regular","3250","JuanitaxErdPurt_regular_seeds","https://www.aceseeds.org/semillas/juanitaxerdpurt-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6495","juanitaxmalawi-semillas-feminizadas","Juanita x Malawi I+D Feminizada","6500","JuanitaxMalawi_feminized_seeds","https://www.aceseeds.org/semillas/juanitaxmalawi-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","32922","kalash-valley-negra-semillas-regulares","Kalash Valley Negra Regular","","","https://www.aceseeds.org/semillas/kalash-valley-negra-semillas-regulares/","","","2025-05-29T00:09:34"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","25952","kali-china-semillas-feminizadas","Kali China Feminizada","1500","Kali_China_feminized_seeds","https://www.aceseeds.org/semillas/kali-china-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","31409","kalidonia-semillas-feminizadas","Kalidonia Feminizada","5000","Kalidonia_feminized_seeds","https://www.aceseeds.org/semillas/kalidonia-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","5564","kalimpong-semillas-regulares","Kalimpong Regular","","","https://www.aceseeds.org/semillas/kalimpong-semillas-regulares/","","","2025-05-26T09:00:24"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","4584","kerala-chellakutti-semillas-regulares","Kerala Chellakutti Regular","","","https://www.aceseeds.org/semillas/kerala-chellakutti-semillas-regulares/","","","2025-06-28T08:41:47"
